Clave Geográfica,Nombre Geográfico,Desagregación,Serie,Año,Valor
17,Morelos,Total,Total,2018,1
17,Morelos,Total,Total,2019,2
17,Morelos,Total,Total,2020,2
17,Morelos,Total,Total,2021,6
17,Morelos,Total,Total,2022,2
