Clave Geográfica,Nombre Geográfico,Desagregación,Serie,Año,Valor
17,Morelos,Por sexo,Hombres,2017,77
17,Morelos,Por sexo,Mujeres,2017,7
17,Morelos,Por sexo,Total,2017,84
17,Morelos,Por sexo,Hombres,2020,130
17,Morelos,Por sexo,Mujeres,2020,19
17,Morelos,Por sexo,Total,2020,149
