,,,,
,,,,
Nombre del indicador,"Porcentaje de niñas, niños y adolescentes de 0 a 17 años en situación de pobreza",,,
Dominio,Desarrollo,,,
Derecho,Vivir en condiciones de bienestar y sano desarrollo integral,,,
Dimensión,Pobreza y bienestar,,,
Unidad de medida,Porcentaje,,,
Indicador según fuente oficial,"Porcentaje de niñas, niños y adolescentes en situación de pobreza",,,
Fuente,Estimaciones del CONEVAL con base en la Encuesta Nacional de Ingresos y Gastos de los Hogares,,,
,(ENIGH) 2010-2020,,,
,,,,
Descripción: Una persona se encuentra en situación de pobreza cuando tiene al menos una carencia social (en los ,,,,
"seis indicadores de rezago educativo, acceso a servicios de salud, acceso a la seguridad social, calidad y espacios de la ",,,,
"vivienda, servicios básicos en la vivienda y acceso a la alimentación) y su ingreso es insuficiente para adquirir los ",,,,
bienes y servicios que requiere para satisfacer sus necesidades alimentarias y no alimentarias.,,,,
,,,,
Nota: La ficha del metadato se puede consultar en ,,,,
http://portales.segob.gob.mx/work/models/Derechos_Humanos/Indicadores/05042023/CONEVAL_Pobreza.pdf,,,,
,,,,
"Porcentaje de niñas, niños y adolescentes de 0 a 17 años en situación de pobreza en Morelos 2010-2020 por municipio.",,,,
Año,,,,
Clave_Geográfica,Nombre_Geográfico,2010,2015,2020
17022,Tetela del Volcán,81.9,86.2,83.4
17033,Temoac,80.3,83.5,78.1
17003,Axochiapan,73.1,84.9,78.6
17016,Ocuituco,72.6,85.3,79.6
17023,Tlalnepantla,72.5,80.6,75.3
17017,Puente de Ixtla,70.5,71.9,70.8
17019,Tepalcingo,68.7,80.7,75.3
17032,Zacualpan,68.5,75.6,66.2
17005,Coatlán del Río,67.2,64.1,67.8
17030,Yecapixtla,65.4,66.8,73.6
17015,Miacatlán,64.4,75.3,58.7
17027,Totolapan,63.7,72.1,80.2
17010,Jantetelco,62.5,66.4,70.1
17013,Jonacatepec,62.1,68.6,78.6
17001,Amacuzac,61.6,67.0,69.8
17002,Atlatlahucan,61.0,53.3,63.3
17018,Temixco,58.5,66.3,67.5
17004,Ayala,57.5,63.6,62.7
17029,Yautepec,56.9,59.8,65.3
17024,Tlaltizapán,56.9,62.2,65.0
17025,Tlaquiltenango,56.7,59.7,65.0
17028,Xochitepec,56.0,62.8,68.7
17021,Tetecala,52.9,64.3,67.2
17009,Huitzilac,52.2,53.8,54.8
17014,Mazatepec,52.0,56.0,58.6
17020,Tepoztlán,50.3,47.1,54.3
17006,Cuautla,49.0,53.0,58.7
17031,Zacatepec,48.8,47.4,50.8
17026,Tlayacapan,44.8,60.1,53.9
17008,Emiliano Zapata,44.1,54.8,55.5
17012,Jojutla,43.5,57.0,59.3
17011,Jiutepec,39.0,43.4,49.1
17007,Cuernavaca,33.1,42.3,46.1
17034,Coatetelco,No disponible,No disponible,87.5
17035,Xoxocotla,No disponible,No disponible,83.9
17036,Hueyapan,No disponible,No disponible,91.8
