Clave_Geográfica,Nombre_Geográfico,,Desagregación,
17,Morelos,,Anual,
Año,kpi 8-2018,kpi 8-2019,kpi 8-2020,kpi 8-2021
Valor,1.2,2.4,4.1,3.0
